User_ID,App,Daily_Minutes_Spent,Posts_Per_Day,Likes_Per_Day,Follows_Per_Day,Engagement_Score
U_1,Pinterest,288,16,94,0,110
U_2,Facebook,192,14,117,15,146
U_3,Instagram,351,13,120,48,181
U_4,TikTok,21,20,117,8,145
U_5,LinkedIn,241,16,9,21,46
U_6,Twitter,464,3,137,30,170
U_7,LinkedIn,229,1,188,25,214
U_8,LinkedIn,8,19,179,48,246
U_9,TikTok,80,7,14,25,46
U_10,Snapchat,428,6,4,41,51
U_11,Snapchat,52,18,124,26,168
U_12,Facebook,314,18,132,28,178
U_13,LinkedIn,26,17,198,18,233
U_14,Instagram,427,0,110,19,129
U_15,Facebook,434,2,111,16,129
U_16,Twitter,494,10,93,49,152
U_17,Snapchat,32,2,81,8,91
U_18,Snapchat,104,19,3,49,71
U_19,LinkedIn,431,7,14,38,59
U_20,Snapchat,347,16,187,21,224
U_21,LinkedIn,52,19,51,33,103
U_22,Facebook,100,19,42,9,70
U_23,Pinterest,214,9,122,16,147
U_24,Facebook,221,15,127,22,164
U_25,Instagram,280,13,42,15,70
U_26,LinkedIn,355,0,128,38,166
U_27,Twitter,188,3,5,15,23
U_28,TikTok,77,2,192,13,207
U_29,Twitter,337,18,21,44,83
U_30,TikTok,199,5,186,40,231
U_31,TikTok,321,4,136,18,158
U_32,Twitter,119,17,97,3,117
U_33,TikTok,396,10,37,36,83
U_34,Pinterest,112,8,82,21,111
U_35,Snapchat,63,0,86,44,130
U_36,Twitter,108,0,163,40,203
U_37,TikTok,252,3,6,39,48
U_38,LinkedIn,233,15,197,25,237
U_39,Pinterest,180,20,127,3,150
U_40,Twitter,289,20,131,14,165
U_41,Facebook,75,10,19,38,67
U_42,Twitter,51,10,21,9,40
U_43,Facebook,187,20,146,20,186
U_44,LinkedIn,215,10,157,31,198
U_45,Facebook,202,1,64,12,77
U_46,Pinterest,206,11,150,1,162
U_47,Pinterest,295,1,47,23,71
U_48,Pinterest,43,19,16,38,73
U_49,LinkedIn,5,7,38,40,85
U_50,LinkedIn,167,10,33,27,70
U_51,Facebook,78,9,166,22,197
U_52,Pinterest,319,19,170,21,210
U_53,Pinterest,172,2,151,44,197
U_54,Snapchat,485,13,40,24,77
U_55,Snapchat,402,14,41,40,95
U_56,Twitter,215,1,120,10,131
U_57,Facebook,104,20,46,27,93
U_58,LinkedIn,363,7,194,24,225
U_59,Facebook,312,9,96,15,120
U_60,TikTok,39,14,80,32,126
U_61,LinkedIn,260,10,159,19,188
U_62,LinkedIn,379,17,48,44,109
U_63,Facebook,208,15,92,9,116
U_64,Pinterest,341,13,4,41,58
U_65,Snapchat,28,9,53,15,77
U_66,Instagram,407,13,192,18,223
U_67,Facebook,498,16,176,18,210
U_68,TikTok,21,6,38,43,87
U_69,TikTok,474,8,112,7,127
U_70,Instagram,36,20,134,43,197
U_71,Twitter,461,20,156,6,182
U_72,Pinterest,178,18,135,5,158
U_73,Snapchat,361,18,190,48,256
U_74,Pinterest,24,15,31,3,49
U_75,Snapchat,149,4,153,15,172
U_76,Snapchat,250,11,200,13,224
U_77,Instagram,251,19,67,47,133
U_78,TikTok,153,7,107,4,118
U_79,Instagram,394,17,23,7,47
U_80,LinkedIn,344,1,125,10,136
U_81,Instagram,454,10,112,39,161
U_82,Instagram,59,8,96,9,113
U_83,Instagram,289,19,15,33,67
U_84,Facebook,497,4,17,19,40
U_85,Twitter,450,18,142,44,204
U_86,Twitter,74,20,197,12,229
