Delta,Theta,Alpha,Beta,User_ID
5950062099798046.0,46414149771.95368,11678308729.553667,4554416976.848702,U_1
1848954610743441.8,45294709993.936554,11539733165.088142,4522371183.410211,U_1
2649181631177956.0,44215645389.12815,11403665609.099094,4490683649.169035,U_1
3322359752064293.5,43175030679.02014,11270045872.154331,4459349070.472028,U_1
433159431247639.3,42171054366.591064,11138815561.381336,4428362241.451967,U_1
3309530763428.3804,41202010734.15273,11009918016.387264,4397718051.984458,U_1
2617172996250.428,40266292495.43579,10883298248.34766,4367411485.650232,U_1
2239591801520.6064,39362384040.122154,10758902880.675,4337437617.427237,U_1
1897247005752.127,38488855207.73613,10636680093.089884,4307791612.098338,U_1
1616679992332.6628,37644355557.018326,10516579566.954912,4278468722.031444,U_1
1391054342563.277,36827609078.830215,10398552433.45335,4249464285.298381,U_1
1208926588677.2683,36037409311.51534,10282551223.837858,4220773723.8037834,U_1
1060439374682.1984,35272614829.395386,10168529821.296625,4192392541.698744,U_1
938004312972.4889,34532145069.35218,10056443415.302265,4164316323.317761,U_1
835928500501.8087,33814976470.044807,9946248457.08042,4136540731.5556693,U_1
749944533313.9137,33120138889.337624,9837902617.54911,4109061506.4409475,U_1
676828526887.6261,32446712286.884525,9731364745.88284,4081874463.163055,U_1
614118509141.0592,31793823642.018013,9626594831.13073,4054975490.6004243,U_1
559912425131.2593,31160644092.595154,9523553964.071772,4028360549.843046,U_1
512723827882.4725,30546386276.253864,9422204300.896841,4002025672.676058,U_1
471378238648.1443,29950301855.994404,9322509028.71319,3975966959.907855,U_1
434938032934.8209,29371679215.180172,9224432331.53847,3950180580.154302,U_1
402647417850.0615,28809841311.687187,9127939358.528904,3924662768.3546634,U_1
373891677518.7367,28264143678.274216,9032996192.675156,3899409824.3863115,U_1
348166653501.87714,27733972554.77631,8939569820.8553,3874418111.6451473,U_1
325055645605.2877,27218743145.62624,8847628105.25165,3849684055.892528,U_1
304211750882.9797,26717897991.367126,8757139755.460466,3825204143.901105,U_1
285344230067.28534,26230905445.879597,8668074301.840405,3800974922.273489,U_1
268207887075.83017,25757258253.035507,8580402069.737022,3776992996.019055,U_1
252594724633.04498,25296472211.93054,8494094154.943705,3753255027.6567945,U_1
238327335189.78775,24848084930.42895,8409122399.521517,3729757735.888424,U_1
225253626420.4867,24411654654.207695,8325459369.060462,3706497894.4369845,U_1
213242581668.40958,23986759167.221325,8243078330.035349,3683472330.9885406,U_1
202180829179.13385,23572994763.42733,8161953228.99553,3660677926.207233,U_1
191969848186.50702,23169975279.84609,8082058671.245114,3638111612.47694,U_1
182523679940.46674,22777331187.402493,8003369901.582672,3615770373.0786586,U_1
173767041762.49155,22394708737.239582,7925862784.49466,3593651241.077846,U_1
165633764743.14236,22021769156.675453,7849513786.224752,3571751298.3397527,U_1
158065493028.5881,21658187894.47981,7774299956.261175,3550067674.53079,U_1
151010595598.7653,21303653908.41436,7700198910.288498,3528597546.358666,U_1
144423251689.94464,20957868995.386333,7627188813.713974,3507338136.46282,U_1
138262678759.51907,20620547159.68106,7555248365.240684,3486286712.483942,U_1
132492478095.1059,20291414016.97572,7484356781.140104,3465440586.421567,U_1
127080077931.64497,19970206232.25827,7414493780.923504,3444797113.6780233,U_1
121996257766.80327,19656670989.5694,7345639572.252274,3424353692.0359473,U_1
117214740616.5573,19350565489.883904,7277774836.893613,3404107761.0161934,U_1
112711842191.4119,19051656479.253727,7210880717.185566,3384056801.2459517,U_1
108466168178.2153,18759719801.158703,7144938803.100883,3364198333.3345633,U_1
104458352137.79604,18474539972.538826,7079931119.409813,3344529917.1780524,U_1
100670827906.39919,18195909784.09307,7015840113.480254,3325049151.451143,U_1
97087631384.85632,17923629920.991604,6952648643.227232,3305753672.617863,U_1
93694227430.54764,17657508605.48489,6890339965.792779,3286641154.4089184,U_1
90477358299.52893,17397361255.09751,6828897726.460611,3267709306.9451866,U_1
87424910579.04103,17143010161.61397,6768305947.870799,3248955876.151723,U_1
84525798092.2228,16894284185.860264,6708549019.33096,3230378643.096735,U_1
